"","voyage_id","ship_name","port_origin","place_of_purchase","port_arrival","year_arrival","n_slaves_arrived","captains_name","state"
"687",79017,"Warren","Lancaster","Sierra Leone estuary","Charleston",1771,120,"Thompson, John","South Carolina"
"688",79019,"Prince George","Lancaster","Windward Coast, port unspecified","Charleston",1772,123,"Davies, Thomas","South Carolina"
"689",79024,"Warren","Lancaster","Sierra Leone estuary","Charleston",1772,130,"Thompson, John","South Carolina"
"690",79028,"Nelly","Lancaster","Sierra Leone estuary","Charleston",1773,150,"Kendall, Robert<br/> Maychell, James","South Carolina"
"691",79045,"Prince George","Lancaster","Sierra Leone estuary","Charleston",1773,80,"Davies, Thomas","South Carolina"
"692",80174,"Alexander","Liverpool","Congo North","Charleston",1804,165,"Thompson, Robert<br/> Carroll, James P","South Carolina"
"693",80175,"Alexander","Liverpool","Congo River","New Orleans",1805,179,"Max, James","Unknown"
"694",80195,"Alice","Liverpool","Bonny","Charleston",1807,364,"Scott, Joseph<br/> Hill, John","South Carolina"
"695",80226,"America","Liverpool","Congo North","Charleston",1806,418,"Cox","South Carolina"
"696",80314,"Anne","Liverpool","Loango","Charleston",1804,357,"Walker, John","South Carolina"
"697",80316,"Anne","Liverpool","Bonny","Charleston",1807,368,"Cummins, John","South Carolina"
"698",80323,"Antigallican","Liverpool","New Calabar","Charleston",1784,220,"Parke, William","South Carolina"
"699",80354,"Ariel","London","Congo River","Charleston",1806,110,"Hall, J<br/> Hunt","South Carolina"
"700",80362,"Ariel","Liverpool","Cabinda","Charleston",1805,260,"Payne, Thomas","South Carolina"
"701",80373,"Aspinall","Liverpool","West Central Africa and St. Helena, port unspecified","Charleston",1807,300,"Hughes, Robert","South Carolina"
"702",80388,"Aurora","London","Bance Island (Ben's Island)","Savannah",1798,96,"Kewans, William","Georgia"
"703",80434,"Barbados Packet","Liverpool","Congo River","Charleston",1804,212,"Smith, George","South Carolina"
"704",80548,"Betsey","London","Gambia","Charleston",1784,90,"Garner, George","South Carolina"
"705",80676,"Brothers","London","Gambia","Beaufort",1785,164,"Dove, M","South Carolina"
"706",83905,"Union","Liverpool","Congo River","Charleston",1806,312,"Tucker, Joseph","South Carolina"
"707",83947,"Venus","London","Cape Coast Castle","Charleston",1784,280,"Buncombe, William","South Carolina"
"708",83989,"Washington","Liverpool","Bonny","Charleston",1805,530,"Belcher<br/> Waldo","South Carolina"
"709",84036,"Louisa","Liverpool","Gambia","Charleston",1784,62,"Cowell<br/> Charters, Thomas<br/> Court, John","South Carolina"
"710",90019,"Mercury","Liverpool","Gambia","Rappahannock",1745,140,"Bacon, William","Virginia"
"711",90040,"William","Liverpool","Calabar","York River",1749,350,"Simmons, John","Virginia"
"712",90118,"Lamb","Liverpool","Gambia","Charleston",1749,103,"Anyon, Timothy","South Carolina"
"713",90187,"Cumberland","Liverpool","Gambia","York River",1752,103,"Griffin, John","Virginia"
"714",90278,"Boyne","Liverpool","Bonny","York River",1752,203,"Wilkinson, William","Virginia"
"715",90297,"Orrell","Liverpool","Gambia","York River",1752,81,"Lacer, Samuel<br/> Whitesides, John<br/> Griffin, James","Virginia"
"716",90304,"Minerva","Liverpool","Gambia","Rappahannock",1752,160,"Jordan, Thomas","Virginia"
"717",90338,"Marques of Rockingham","Liverpool","Sierra Leone estuary","Rappahannock",1760,200,"Evans, George","Virginia"
"718",90340,"Marques of Rockingham","Liverpool","Gold Coast, port unspecified","Annapolis",1762,188,"Evans, George","Maryland"
"719",90343,"True Blue","Liverpool","Benin","Virginia, port unspecified",1753,72,"Wade, Benjamin","Virginia"
"720",90351,"Barbados Merchant","Liverpool","West Central Africa and St. Helena, port unspecified","Charleston",1751,306,"Stewart, James<br/> Wilson, John","South Carolina"
"721",90357,"Penelope","Liverpool","Gambia","Upper James River",1751,208,"Gother, Anthony","Virginia"
"722",90359,"George",NA,"West Central Africa and St. Helena, port unspecified","Lower James River",1752,54,"Cooke, Charles","Virginia"
"723",90394,"Cavendish","Liverpool","Gambia","Charleston",1756,120,"Buchan, John<br/> Walker, John","South Carolina"
"724",90395,"Elijah","Liverpool","Gold Coast, port unspecified","Annapolis",1752,140,"Lowe, James","Maryland"
"725",90399,"Thomas","Barbados, port unspecified","Gambia","Charleston",1753,130,"Hutchinson, James","South Carolina"
"726",90404,"Alice Gally",NA,"Gold Coast, port unspecified","York River",1752,260,"Jackson, Richard","Virginia"
"727",90413,"Elizabeth","Liverpool","Gambia","Virginia, port unspecified",1752,130,"Hayes, William","Virginia"
